Index,0:？,1:？
0,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_000,你好，冒险者。<br>欢迎来到弯枝牧场。<br>今天你想要做些什么呢？
1,TEXT_REGFSTBENTBRANCHMEADOWS_00129_Q1_000_000,想了解什么？
2,TEXT_REGFSTBENTBRANCHMEADOWS_00129_A1_000_001,你是做什么的？
3,TEXT_REGFSTBENTBRANCHMEADOWS_00129_A1_000_002,这里是什么地方？
4,TEXT_REGFSTBENTBRANCHMEADOWS_00129_A1_000_003,取消
5,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_010,我是“莫古力礼峰”的代表人，经营着这座牧场。<br>大家都称呼我为“牧场主”。
6,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_011,在过去，一提到陆行鸟的繁殖，<br>大家就会觉得那是北方邻邦——宗教城市伊修加德的专利。<br>当时他们严禁输出雌性的陆行鸟，以此处于垄断地位。
7,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_012,不过，因为之前的灵灾，<br>伊修加德地处的库尔札斯地区环境发生了巨变。<br>有许多陆行鸟逃到了黑衣森林，便发展成了现在这样。
8,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_020,这里是繁殖陆行鸟的牧场。<br>第七灵灾之后，我们得到了元灵的许可，<br>在这一带进行开拓，建立了牧场。
9,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_021,这里除了设有鸟栏，还种植作为陆行鸟饲料的基萨尔野菜，<br>另外还配备了一切与饲养、繁殖陆行鸟相关的设施。
10,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_022,饲养出健康的陆行鸟，并让它们与未来的主人相遇，<br>这就是我们人生价值的体现。
11,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_030,你又来了啊。<br>当得知莫古力一直在守护着我们之后，<br>我就觉得这份工作更加有意义了……这都是你的功劳！
12,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_100,比起我……倒不如说一说牧场的近况……<br>你救回的蕾亚的蛋成功孵化了，<br>现在可是牧场里最淘气的小陆行鸟了。
13,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_101,在过去，一提到陆行鸟的繁殖，<br>大家就会觉得那是北方邻邦——宗教城市伊修加德的专利。<br>不过现在，格里达尼亚也渐渐在这方面取得成功。
14,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_102,等我们能够更好地繁殖陆行鸟之后，<br>我想把这方面的技术传播得更广。
15,TEXT_REGFSTBENTBRANCHMEADOWS_00129_KEITHA_000_040,你又来了啊。<br>专属陆行鸟的饲养还顺利吗？
