Index,0:？,1:？
0,TEXT_BANIXA303_01516_SEQ_00,{{color|id=508|特殊规则： 等级调整}}<br>※本任务的推荐等级为：<br>　制作职业6级以上、战斗职业45级以上。<br><br>长风实验场的财务官罗佐尔·卡特兰，想委托冒险者一件麻烦的工作。
1,TEXT_BANIXA303_01516_SEQ_01,※本任务为{{color|id=508|}} 等级调整任务。<br><br>接受了财务官罗佐尔·卡特兰的委托，去制作{{ItemHQ|8102|0}}。前往库尔札斯中央高地的阿德内尔占星台，从酒保商人迪维库鲁瓦那里领取{{EventItem|2001401|0}}。前往天火要塞群，对{{BNpcName|784|0}}使用{{EventItem|2001403|0}}，获取{{EventItem|2001402|0}}。
2,TEXT_BANIXA303_01516_SEQ_02,获得了礼品和材料。将{{EventItem|2001401|0}}和{{EventItem|2001402|0}}交给阿德内尔占星台的坦普尔顿，并获取制作设施的使用权。
3,TEXT_BANIXA303_01516_SEQ_03,可以使用制作设施了。用{{Item|8063|0}}制作{{ItemHQ|8102|0}}，并将其交给长风实验场的财务官罗佐尔·卡特兰。<br><br>※如果“制作设施：元件工作II”的状态效果消失了，或者{{Item|8063|0}}不足的话，就和坦普尔顿对话，即可重获状态效果和材料，并再次进行挑战。
4,TEXT_BANIXA303_01516_SEQ_04,将{{ItemHQ|8102|0}}交给了财务官罗佐尔·卡特兰。听说管理制作设施的坦普尔顿买了不少酒，其品行令人担忧。但想利用占星台的制作设施的话，只能继续贿赂他了，看来麻烦的工作仍将继续。
5,TEXT_BANIXA303_01516_SEQ_05,
6,TEXT_BANIXA303_01516_SEQ_06,
7,TEXT_BANIXA303_01516_SEQ_07,
8,TEXT_BANIXA303_01516_SEQ_08,
9,TEXT_BANIXA303_01516_SEQ_09,
10,TEXT_BANIXA303_01516_SEQ_10,
11,TEXT_BANIXA303_01516_SEQ_11,
12,TEXT_BANIXA303_01516_SEQ_12,
13,TEXT_BANIXA303_01516_SEQ_13,
14,TEXT_BANIXA303_01516_SEQ_14,
15,TEXT_BANIXA303_01516_SEQ_15,
16,TEXT_BANIXA303_01516_SEQ_16,
17,TEXT_BANIXA303_01516_SEQ_17,
18,TEXT_BANIXA303_01516_SEQ_18,
19,TEXT_BANIXA303_01516_SEQ_19,
20,TEXT_BANIXA303_01516_SEQ_20,
21,TEXT_BANIXA303_01516_SEQ_21,
22,TEXT_BANIXA303_01516_SEQ_22,
23,TEXT_BANIXA303_01516_SEQ_23,
24,TEXT_BANIXA303_01516_TODO_00,和阿德内尔占星台的迪维库鲁瓦对话
25,TEXT_BANIXA303_01516_TODO_01,对天火要塞群的{{BNpcName|784|0}}使用{{EventItem|2001403|0}}<br>获取{{EventItem|2001402|0}}
26,TEXT_BANIXA303_01516_TODO_02,将{{EventItem|2001401|0}}和{{EventItem|2001402|0}}<br>交给阿德内尔占星台的坦普尔顿
27,TEXT_BANIXA303_01516_TODO_03,<if (<var:1> < <var:2>) { 制作笔记 蛮族任务3级：制作{{ItemHQ|8102|0}} } else { 将{{ItemHQ|8102|0}}交给财务官罗佐尔·卡特兰 }>
28,TEXT_BANIXA303_01516_TODO_04,
29,TEXT_BANIXA303_01516_TODO_05,
30,TEXT_BANIXA303_01516_TODO_06,
31,TEXT_BANIXA303_01516_TODO_07,
32,TEXT_BANIXA303_01516_TODO_08,
33,TEXT_BANIXA303_01516_TODO_09,
34,TEXT_BANIXA303_01516_TODO_10,
35,TEXT_BANIXA303_01516_TODO_11,
36,TEXT_BANIXA303_01516_TODO_12,
37,TEXT_BANIXA303_01516_TODO_13,
38,TEXT_BANIXA303_01516_TODO_14,
39,TEXT_BANIXA303_01516_TODO_15,
40,TEXT_BANIXA303_01516_TODO_16,
41,TEXT_BANIXA303_01516_TODO_17,
42,TEXT_BANIXA303_01516_TODO_18,
43,TEXT_BANIXA303_01516_TODO_19,
44,TEXT_BANIXA303_01516_TODO_20,
45,TEXT_BANIXA303_01516_TODO_21,
46,TEXT_BANIXA303_01516_TODO_22,
47,TEXT_BANIXA303_01516_TODO_23,
48,TEXT_BANIXA303_01516_ROZOLCATTLAN_000_000,请你去制作{{ItemHQ|8102|0}}吧！<br>你知道压载物吗？它用来控制船升降的负重。<br>我现在需要金属零件固定那东西。
49,TEXT_BANIXA303_01516_ROZOLCATTLAN_000_010,请你去制作{{ItemHQ|8102|0}}吧！<br>你知道压载物吗？它用来控制船升降的负重。<br>我现在需要灌在那里面的防冻液。
50,TEXT_BANIXA303_01516_ROZOLCATTLAN_000_020,请你去制作{{ItemHQ|8102|0}}吧！<br>你知道压载物吗？它用来控制船升降的负重。<br>我现在需要有排水口的皮口袋，用来灌防冻液。
51,TEXT_BANIXA303_01516_ROZOLCATTLAN_000_040,制作所需的材料和设备都在阿德内尔占星台！<br>那个小个子少爷已经帮我们联系了，<br>你去当地找一个叫迪维库鲁瓦的酒保商人领取材料！
52,TEXT_BANIXA303_01516_ROZOLCATTLAN_000_041,制作设施也在阿德内尔占星台。<br>听说设施的负责人坦普尔顿十分怕冷。<br>你把毛毯的材料送给他的话，他应该就会借你设备了。
53,TEXT_BANIXA303_01516_ROZOLCATTLAN_000_042,至于哪里可以找毛毯的材料嘛……<br>你去天火要塞群，将{{BNpcName|784|0}}的硬毛剃掉就行了。<br>使用{{EventItem|2001403|0}}就可以轻松办到。
54,TEXT_BANIXA303_01516_ROZOLCATTLAN_000_050,制作所需的材料和设备都在阿德内尔占星台！<br>那个小个子少爷已经帮我们联系了，<br>你去当地找一个叫迪维库鲁瓦的酒保商人领取材料！
55,TEXT_BANIXA303_01516_ROZOLCATTLAN_000_051,作为送给设施负责人的礼品，<br>你去天火要塞群附近，剃掉{{BNpcName|784|0}}的硬毛。<br>使用{{EventItem|2001403|0}}就可以轻松办到。
56,TEXT_BANIXA303_01516_DUVICAUROIX_000_060,你是少爷派来的人吧？<br>我费了好大的工夫才筹齐了你要的东西呢。<br>虽然不知道是用来干嘛的，你快收下吧。
57,TEXT_BANIXA303_01516_DUVICAUROIX_000_061,最近和异邦人的生意来往也多了。<br>特别是高风飞行社的那个人，他可是个大客户啊……<br>他经常来我这里买酒，可能是为了御寒吧。
