Index,0:？,1:？
0,TEXT_STMBDZ913_02869_SEQ_00,神拳痕的解放军老战士正在找人。
1,TEXT_STMBDZ913_02869_SEQ_01,
2,TEXT_STMBDZ913_02869_SEQ_02,
3,TEXT_STMBDZ913_02869_SEQ_03,
4,TEXT_STMBDZ913_02869_SEQ_04,
5,TEXT_STMBDZ913_02869_SEQ_05,
6,TEXT_STMBDZ913_02869_SEQ_06,
7,TEXT_STMBDZ913_02869_SEQ_07,
8,TEXT_STMBDZ913_02869_SEQ_08,
9,TEXT_STMBDZ913_02869_SEQ_09,
10,TEXT_STMBDZ913_02869_SEQ_10,
11,TEXT_STMBDZ913_02869_SEQ_11,
12,TEXT_STMBDZ913_02869_SEQ_12,
13,TEXT_STMBDZ913_02869_SEQ_13,
14,TEXT_STMBDZ913_02869_SEQ_14,
15,TEXT_STMBDZ913_02869_SEQ_15,
16,TEXT_STMBDZ913_02869_SEQ_16,
17,TEXT_STMBDZ913_02869_SEQ_17,
18,TEXT_STMBDZ913_02869_SEQ_18,
19,TEXT_STMBDZ913_02869_SEQ_19,
20,TEXT_STMBDZ913_02869_SEQ_20,
21,TEXT_STMBDZ913_02869_SEQ_21,
22,TEXT_STMBDZ913_02869_SEQ_22,
23,TEXT_STMBDZ913_02869_SEQ_23,
24,TEXT_STMBDZ913_02869_TODO_00,和帝国东方堡的兵将对话
25,TEXT_STMBDZ913_02869_TODO_01,和双蛇党兵卒对话
26,TEXT_STMBDZ913_02869_TODO_02,
27,TEXT_STMBDZ913_02869_TODO_03,
28,TEXT_STMBDZ913_02869_TODO_04,
29,TEXT_STMBDZ913_02869_TODO_05,
30,TEXT_STMBDZ913_02869_TODO_06,
31,TEXT_STMBDZ913_02869_TODO_07,
32,TEXT_STMBDZ913_02869_TODO_08,
33,TEXT_STMBDZ913_02869_TODO_09,
34,TEXT_STMBDZ913_02869_TODO_10,
35,TEXT_STMBDZ913_02869_TODO_11,
36,TEXT_STMBDZ913_02869_TODO_12,
37,TEXT_STMBDZ913_02869_TODO_13,
38,TEXT_STMBDZ913_02869_TODO_14,
39,TEXT_STMBDZ913_02869_TODO_15,
40,TEXT_STMBDZ913_02869_TODO_16,
41,TEXT_STMBDZ913_02869_TODO_17,
42,TEXT_STMBDZ913_02869_TODO_18,
43,TEXT_STMBDZ913_02869_TODO_19,
44,TEXT_STMBDZ913_02869_TODO_20,
45,TEXT_STMBDZ913_02869_TODO_21,
46,TEXT_STMBDZ913_02869_TODO_22,
47,TEXT_STMBDZ913_02869_TODO_23,
48,TEXT_STMBDZ913_02869_ELDERLYPRIVATE02869_000_000,真是抱歉，能不能帮我找个人啊？<br>其实，我的女儿去了帝国东方堡附近，<br>已经过了好久了，都还没有回来……
49,TEXT_STMBDZ913_02869_ELDERLYPRIVATE02869_000_001,能不能麻烦你去问问当地的同盟军兵将，<br>有没有见过我女儿……<br>你去问的话，他们也会乐于回答吧……
50,TEXT_STMBDZ913_02869_ELDERLYPRIVATE02869_000_002,我女儿头发是金色，眼睛是栗色……<br>因为任务前往了巴埃萨长城。<br>拜托……拜托了，请找到我女儿！
51,TEXT_STMBDZ913_02869_ELDERLYPRIVATE02869_000_003,我女儿头发是金色，眼睛是栗色……<br>因为任务前往了巴埃萨长城。<br>拜托……拜托了，请找到我女儿！
52,TEXT_STMBDZ913_02869_SWETHRYKBROOKSTONE_000_010,这不是<if (<param:黑涡团军衔级别> > 0) { <if (<param:黑涡团军衔级别> < 127) { <name:玩家全名><if (<param:黑涡团军衔级别> > 0) { <if (<param:黑涡团军衔级别> < 127) { <GCRankLimsaMaleText:<param:黑涡团军衔级别>:0> }> }> }> }><if (<param:双蛇党军衔级别> > 0) { <if (<param:双蛇党军衔级别> < 127) { <name:玩家全名><if (<param:双蛇党军衔级别> > 0) { <if (<param:双蛇党军衔级别> < 127) { <GCRankGridaniaMaleText:<param:双蛇党军衔级别>:0> }> }> }> }><if (<param:恒辉队军衔级别> > 0) { <if (<param:恒辉队军衔级别> < 127) { <name:玩家全名><if (<param:恒辉队军衔级别> > 0) { <if (<param:恒辉队军衔级别> < 127) { <GCRankUldahMaleText:<param:恒辉队军衔级别>:0> }> }> }> }>吗？<br>怎么了？找我有什么事？
53,TEXT_STMBDZ913_02869_SWETHRYKBROOKSTONE_000_011,没听说过有这样的女性战士来啊。<br>……不过，部下报告说以前有男性来找过这样的女性。
54,TEXT_STMBDZ913_02869_SWETHRYKBROOKSTONE_000_012,或许部下那边会知道详情，<br>你就去问问双蛇党兵卒吧。
55,TEXT_STMBDZ913_02869_KAKALAI_000_013,金发的女性战士吗？<br>真是抱歉，我没什么印象，<br>帮不上你了。
56,TEXT_STMBDZ913_02869_LOEZKIRZ_000_014,嗯……你在找阿拉米格解放军的女性战士？<br>我只见到过猫魅族的女性……<br>和你找的应该不是一个人吧？
57,TEXT_STMBDZ913_02869_PIP_000_015,你在找金发和栗色眼睛的女性？<br>我虽然不太清楚，不过双蛇党的人应该会知道。<br>当地的哨兵都是由双蛇党负责的……
58,TEXT_STMBDZ913_02869_SWETHRYKBROOKSTONE_000_016,或许部下那边会知道详情，<br>你就去问问双蛇党兵卒吧。
59,TEXT_STMBDZ913_02869_KAKALAI_000_017,金发的女性战士吗？<br>真是抱歉，我没什么印象，<br>帮不上你了。
60,TEXT_STMBDZ913_02869_LOEZKIRZ_000_018,嗯……你在找阿拉米格解放军的女性战士？<br>我只见到过猫魅族的女性……<br>和你找的应该不是一个人吧？
61,TEXT_STMBDZ913_02869_PIP_000_019,你在找金发和栗色眼睛的女性？<br>我虽然不太清楚，不过双蛇党的人应该会知道。<br>当地的哨兵都是由双蛇党负责的……
62,TEXT_STMBDZ913_02869_TWINADDERSONSTELOT02869_000_030,什么？<br>神拳痕的老战士拜托你来找他的女儿？
63,TEXT_STMBDZ913_02869_TWINADDERSONSTELOT02869_000_031,那位老人还没有接受事实啊……<br>……其实，他要找的女儿并不是失踪，<br>而是已经去世了。
64,TEXT_STMBDZ913_02869_TWINADDERSONSTELOT02869_000_032,之后调查时发现，她被铁面公卿的演讲打动了心，<br>参加了袭击巴埃萨长城的计划，<br>并于那里失去了性命。
65,TEXT_STMBDZ913_02869_TWINADDERSONSTELOT02869_000_033,我们带着回收的遗物，前往神拳痕寻找遗属时，<br>遇到了她的父亲并确定了她的身份。
66,TEXT_STMBDZ913_02869_TWINADDERSONSTELOT02869_000_034,不过，那位老人好像没能接受自己女儿的死。<br>在那之后，他还多次造访这里，<br>并苦苦哀求我们寻找自己的女儿。
67,TEXT_STMBDZ913_02869_TWINADDERSONSTELOT02869_000_035,父亲那边就由我去说明吧，<br>你去忙你的就好了。<br>真是辛苦你了，还特意跑来这里。
68,TEXT_STMBDZ913_02869_TWINADDERSONSTELOT02869_000_036,（★未使用／削除予定★）
