Index,0:？,1:？
0,TEXT_GAIUSE105_01179_SEQ_00,沙之家的敏菲利亚有事情想要拜托冒险者。
1,TEXT_GAIUSE105_01179_SEQ_01,下定决心进行迁移的敏菲利亚，察觉到母亲芙·拉敏的样子有些奇怪。和沙之家的芙·拉敏对话。
2,TEXT_GAIUSE105_01179_SEQ_02,芙·拉敏的耳饰坏了，那耳饰对她来说很重要。将{{EventItem|2001074|0}}交给乌尔达哈雕金匠行会的梅梅德斯。
3,TEXT_GAIUSE105_01179_SEQ_03,耳饰好像是天才雕金匠涅尔弗雷纳送给恋人的东西。前往南萨纳兰的挖掘场，和奥迪内尔对话，代替梅梅德斯取回矿石。
4,TEXT_GAIUSE105_01179_SEQ_04,从奥迪内尔那里拿到了{{EventItem|2001075|0}}。将{{EventItem|2001075|0}}交给乌尔达哈雕金匠行会的梅梅德斯。
5,TEXT_GAIUSE105_01179_SEQ_05,顺利将{{EventItem|2001075|0}}交给了梅梅德斯。将{{EventItem|2001076|0}}交给沙之家的芙·拉敏。
6,TEXT_GAIUSE105_01179_SEQ_06,顺利将{{EventItem|2001076|0}}交给了芙·拉敏。向沙之家的敏菲利亚报告。
7,TEXT_GAIUSE105_01179_SEQ_07,将本部迁移到丧灵钟的计划在稳步进行着。伴随着迁移，“拂晓”的存在方式也将改变……
8,TEXT_GAIUSE105_01179_SEQ_08,空
9,TEXT_GAIUSE105_01179_SEQ_09,空
10,TEXT_GAIUSE105_01179_SEQ_10,空
11,TEXT_GAIUSE105_01179_SEQ_11,空
12,TEXT_GAIUSE105_01179_SEQ_12,空
13,TEXT_GAIUSE105_01179_SEQ_13,空
14,TEXT_GAIUSE105_01179_SEQ_14,空
15,TEXT_GAIUSE105_01179_SEQ_15,空
16,TEXT_GAIUSE105_01179_SEQ_16,空
17,TEXT_GAIUSE105_01179_SEQ_17,空
18,TEXT_GAIUSE105_01179_SEQ_18,空
19,TEXT_GAIUSE105_01179_SEQ_19,空
20,TEXT_GAIUSE105_01179_SEQ_20,空
21,TEXT_GAIUSE105_01179_SEQ_21,空
22,TEXT_GAIUSE105_01179_SEQ_22,空
23,TEXT_GAIUSE105_01179_SEQ_23,空
24,TEXT_GAIUSE105_01179_TODO_00,和芙·拉敏对话
25,TEXT_GAIUSE105_01179_TODO_01,将{{EventItem|2001074|0}}交给雕金匠行会的梅梅德斯
26,TEXT_GAIUSE105_01179_TODO_02,前往南萨纳兰的挖掘场和奥迪内尔对话
27,TEXT_GAIUSE105_01179_TODO_03,将{{EventItem|2001075|0}}交给雕金匠行会的梅梅德斯
28,TEXT_GAIUSE105_01179_TODO_04,将{{EventItem|2001076|0}}交给沙之家的芙·拉敏
29,TEXT_GAIUSE105_01179_TODO_05,向敏菲利亚报告
30,TEXT_GAIUSE105_01179_TODO_06,空
31,TEXT_GAIUSE105_01179_TODO_07,空
32,TEXT_GAIUSE105_01179_TODO_08,空
33,TEXT_GAIUSE105_01179_TODO_09,空
34,TEXT_GAIUSE105_01179_TODO_10,空
35,TEXT_GAIUSE105_01179_TODO_11,空
36,TEXT_GAIUSE105_01179_TODO_12,空
37,TEXT_GAIUSE105_01179_TODO_13,空
38,TEXT_GAIUSE105_01179_TODO_14,空
39,TEXT_GAIUSE105_01179_TODO_15,空
40,TEXT_GAIUSE105_01179_TODO_16,空
41,TEXT_GAIUSE105_01179_TODO_17,空
42,TEXT_GAIUSE105_01179_TODO_18,空
43,TEXT_GAIUSE105_01179_TODO_19,空
44,TEXT_GAIUSE105_01179_TODO_20,空
45,TEXT_GAIUSE105_01179_TODO_21,空
46,TEXT_GAIUSE105_01179_TODO_22,空
47,TEXT_GAIUSE105_01179_TODO_23,空
48,TEXT_GAIUSE105_01179_MINFILIA_000_000,决定要迁移本部之后，<br>眼前要做的事情堆积如山啊……
49,TEXT_GAIUSE105_01179_MINFILIA_000_001,阿尔菲诺提议的迁移地点，<br>摩杜纳的丧灵钟……
50,TEXT_GAIUSE105_01179_MINFILIA_000_002,从那里往西，有一个废弃营地，这你知道吗？<br>那里是因为第七灵灾而废弃的，<br>之前是一个名为丧灵钟营地的据点。
51,TEXT_GAIUSE105_01179_MINFILIA_000_003,而现在的丧灵钟，<br>为了重新恢复作为营地的机能，<br>在以冒险者行会为主体逐步进行重建。
52,TEXT_GAIUSE105_01179_MINFILIA_000_004,……如果要迁移到丧灵钟，<br>必须要和他们建立协助体系。<br>看来得先和冒险者行会总部谈一谈。
53,TEXT_GAIUSE105_01179_ALPHINAUD_000_005,我早就想到了，所以做了安排。
54,TEXT_GAIUSE105_01179_MINFILIA_000_006,你动作还是那么快啊。
