Index,0:？,1:？
0,TEXT_GAIUSC604_01004_SEQ_00,丧灵钟的格拉乌蒙特准备实行计划。
1,TEXT_GAIUSC604_01004_SEQ_01,格拉乌蒙特讲述了夺取魔导装甲的详细计划。首先向巡逻中的帝国军小队做情感动作“帝国式军礼”，提醒他们加强对危险分子的警戒。
2,TEXT_GAIUSC604_01004_SEQ_02,将危险分子的情报告知了巡逻中的帝国军小队。在{{EObj|2002240|0}}使用{{EventItem|2000771|0}}，将帝国军小队引诱出来。
3,TEXT_GAIUSC604_01004_SEQ_03,顺利地按照计划夺取了魔导装甲。返回丧灵钟，向秘密工房的西德报告。斯拉佛伯恩可以带路进入秘密工房。
4,TEXT_GAIUSC604_01004_SEQ_04,向丧灵钟的西德报告完毕。夺取来的魔导装甲正在由比格斯和魏吉进行修理。修理完毕后，就是作战开始之时。为了不留下遗憾，做好万全准备。
5,TEXT_GAIUSC604_01004_SEQ_05,
6,TEXT_GAIUSC604_01004_SEQ_06,
7,TEXT_GAIUSC604_01004_SEQ_07,
8,TEXT_GAIUSC604_01004_SEQ_08,
9,TEXT_GAIUSC604_01004_SEQ_09,
10,TEXT_GAIUSC604_01004_SEQ_10,
11,TEXT_GAIUSC604_01004_SEQ_11,
12,TEXT_GAIUSC604_01004_SEQ_12,
13,TEXT_GAIUSC604_01004_SEQ_13,
14,TEXT_GAIUSC604_01004_SEQ_14,
15,TEXT_GAIUSC604_01004_SEQ_15,
16,TEXT_GAIUSC604_01004_SEQ_16,
17,TEXT_GAIUSC604_01004_SEQ_17,
18,TEXT_GAIUSC604_01004_SEQ_18,
19,TEXT_GAIUSC604_01004_SEQ_19,
20,TEXT_GAIUSC604_01004_SEQ_20,
21,TEXT_GAIUSC604_01004_SEQ_21,
22,TEXT_GAIUSC604_01004_SEQ_22,
23,TEXT_GAIUSC604_01004_SEQ_23,
24,TEXT_GAIUSC604_01004_TODO_00,穿上帝国兵的装备 对巡逻部队做“帝国式军礼”的情感动作
25,TEXT_GAIUSC604_01004_TODO_01,在{{EObj|2002240|0}}使用{{EventItem|2000771|0}}
26,TEXT_GAIUSC604_01004_TODO_02,向西德报告
27,TEXT_GAIUSC604_01004_TODO_03,
28,TEXT_GAIUSC604_01004_TODO_04,
29,TEXT_GAIUSC604_01004_TODO_05,
30,TEXT_GAIUSC604_01004_TODO_06,
31,TEXT_GAIUSC604_01004_TODO_07,
32,TEXT_GAIUSC604_01004_TODO_08,
33,TEXT_GAIUSC604_01004_TODO_09,
34,TEXT_GAIUSC604_01004_TODO_10,
35,TEXT_GAIUSC604_01004_TODO_11,
36,TEXT_GAIUSC604_01004_TODO_12,
