Index,0:？,1:？
0,TEXT_JOBDRK350_02055_SEQ_00,云雾街的弗雷正在等待冒险者。
1,TEXT_JOBDRK350_02055_SEQ_01,为了得知触碰灵魂水晶时到底是谁发出的悲鸣，弗雷提议举办获得暗黑之力的仪式。在南萨纳兰的小阿拉米格和弗雷汇合。
2,TEXT_JOBDRK350_02055_SEQ_02,和弗雷汇合了。在举办仪式之前，需要先打倒强敌，展示自己作为暗黑骑士的实力。和小阿拉米格的古恩德巴尔德对话。
3,TEXT_JOBDRK350_02055_SEQ_03,从古恩德巴尔德处获得了{{BNpcName|4119|0}}的情报。和南萨纳兰红迷宫的弗雷对话。
4,TEXT_JOBDRK350_02055_SEQ_04,和弗雷进行了交谈，决定要打倒{{BNpcName|4119|0}}。将{{EventItem|2001812|0}}放在红迷宫的{{EObj|2006291|0}}上。
5,TEXT_JOBDRK350_02055_SEQ_05,放好了{{EventItem|2001812|0}}。在红迷宫的{{EObj|2006293|0}}等待，讨伐出现的{{BNpcName|4119|0}}。
6,TEXT_JOBDRK350_02055_SEQ_06,讨伐了{{BNpcName|4119|0}}。和红迷宫的弗雷对话。
7,TEXT_JOBDRK350_02055_SEQ_07,和弗雷进行了交谈。前往指定地点举行仪式。和小阿拉米格南边的弗雷对话。
8,TEXT_JOBDRK350_02055_SEQ_08,和弗雷举行获得更强暗黑之力的仪式。和小阿拉米格南边的弗雷共鸣。
9,TEXT_JOBDRK350_02055_SEQ_09,在和弗雷共鸣时，冒险者感到胸口像燃烧起来一样剧痛，同时听到了不知是谁的声音。随着暗黑之力的增强，冒险者可以听到等待救援的人们的声音。磨练暗黑骑士的本领，为下一次仪式做准备。<br><br>※暗黑骑士的等级达到40级以上时，可以从云雾街的弗雷那里领取下一个暗黑骑士任务。
10,TEXT_JOBDRK350_02055_SEQ_10,无
11,TEXT_JOBDRK350_02055_SEQ_11,无
12,TEXT_JOBDRK350_02055_SEQ_12,无
13,TEXT_JOBDRK350_02055_SEQ_13,无
14,TEXT_JOBDRK350_02055_SEQ_14,无
15,TEXT_JOBDRK350_02055_SEQ_15,无
16,TEXT_JOBDRK350_02055_SEQ_16,无
17,TEXT_JOBDRK350_02055_SEQ_17,无
18,TEXT_JOBDRK350_02055_SEQ_18,无
19,TEXT_JOBDRK350_02055_SEQ_19,无
20,TEXT_JOBDRK350_02055_SEQ_20,无
21,TEXT_JOBDRK350_02055_SEQ_21,无
22,TEXT_JOBDRK350_02055_SEQ_22,无
23,TEXT_JOBDRK350_02055_SEQ_23,无
24,TEXT_JOBDRK350_02055_TODO_00,和小阿拉米格的弗雷汇合
25,TEXT_JOBDRK350_02055_TODO_01,和古恩德巴尔德对话
26,TEXT_JOBDRK350_02055_TODO_02,和红迷宫的弗雷对话
27,TEXT_JOBDRK350_02055_TODO_03,将{{EventItem|2001812|0}}放在{{EObj|2006291|0}}
28,TEXT_JOBDRK350_02055_TODO_04,在{{EObj|2006293|0}}等待 讨伐{{BNpcName|4119|0}}
29,TEXT_JOBDRK350_02055_TODO_05,和弗雷对话
30,TEXT_JOBDRK350_02055_TODO_06,和小阿拉米格南边的弗雷对话
31,TEXT_JOBDRK350_02055_TODO_07,和弗雷共鸣
32,TEXT_JOBDRK350_02055_TODO_08,无
33,TEXT_JOBDRK350_02055_TODO_09,无
34,TEXT_JOBDRK350_02055_TODO_10,无
35,TEXT_JOBDRK350_02055_TODO_11,无
36,TEXT_JOBDRK350_02055_TODO_12,无
37,TEXT_JOBDRK350_02055_TODO_13,无
38,TEXT_JOBDRK350_02055_TODO_14,无
39,TEXT_JOBDRK350_02055_TODO_15,无
40,TEXT_JOBDRK350_02055_TODO_16,无
41,TEXT_JOBDRK350_02055_TODO_17,无
42,TEXT_JOBDRK350_02055_TODO_18,无
43,TEXT_JOBDRK350_02055_TODO_19,无
44,TEXT_JOBDRK350_02055_TODO_20,无
45,TEXT_JOBDRK350_02055_TODO_21,无
46,TEXT_JOBDRK350_02055_TODO_22,无
47,TEXT_JOBDRK350_02055_TODO_23,无
48,TEXT_JOBDRK350_02055_FRAY_000_000,又见面了，<name:玩家全名>，<br>那我就将记忆中与暗黑骑士有关的知识传授给你吧。
49,TEXT_JOBDRK350_02055_FRAY_000_001,不过在这之前……<br>关于上次的事件，你有没有什么在意的地方？
50,TEXT_JOBDRK350_02055_Q1_000_002,上次的未解之谜是……
51,TEXT_JOBDRK350_02055_A1_000_003,最开始听到的声音
52,TEXT_JOBDRK350_02055_A1_000_004,弗雷的罪名
53,TEXT_JOBDRK350_02055_A1_000_005,老奶奶后来怎么样了？
54,TEXT_JOBDRK350_02055_FRAY_000_010,没错。<br>最开始接触我的灵魂水晶时，<br>你曾说过听到了不知是谁的声音……
55,TEXT_JOBDRK350_02055_FRAY_000_011,我也很在意悲鸣声的主人到底是谁……<br>也许那正是“等待你去帮助的人”的声音。
56,TEXT_JOBDRK350_02055_FRAY_000_012,是历代暗黑骑士保护弱者的信念将你和那个人连结到了一起。<br>如果找不到声音的主人，那么就不配做暗黑骑士。
57,TEXT_JOBDRK350_02055_FRAY_000_013,为了成为合格的暗黑骑士，找到声音的主人，<br>你需要获得更强的暗黑之力，<br>这样你也许就会再次听到那个声音。
58,TEXT_JOBDRK350_02055_FRAY_000_014,我们需要通过一个特别的仪式来获得暗黑之力。<br>虽说仪式在哪里举办都可以……<br>不过经过上次一事，在皇都内举办可能会受到干扰。
59,TEXT_JOBDRK350_02055_FRAY_000_015,我们还是挑个远一点的地方吧。<br>我在南萨纳兰的小阿拉米格等你。
60,TEXT_JOBDRK350_02055_FRAY_000_020,咦？我不是说过了么，我是被冤枉的。<br>嗯？具体怎么被冤枉了？<br>唔……你等我想想……
61,TEXT_JOBDRK350_02055_FRAY_000_021,……对了！我看到一个无辜的女孩子被神殿骑士追，<br>我想保护她，结果就被定罪了。<br>哎这年头好人真难当……
62,TEXT_JOBDRK350_02055_FRAY_000_022,比起我的事，你不关心一下自己吗？
63,TEXT_JOBDRK350_02055_FRAY_000_030,啊？<br>呃……<br>她孙女也回来了，应该没有问题了吧。
64,TEXT_JOBDRK350_02055_FRAY_000_031,比起这种事，不是还有更要紧的吗！<br>你这个人真是的……
65,TEXT_JOBDRK350_02055_FRAY_000_040,你来了啊，<br>那我就来向你介绍一下如何获得更强的暗黑之力。
66,TEXT_JOBDRK350_02055_FRAY_000_041,只要用我的力量，马上就能完成仪式，<br>但获得暗黑之力，也就代表需要唤起更强的负面感情。
67,TEXT_JOBDRK350_02055_FRAY_000_042,为此，如果你没有足够的能力，<br>就会无法抑制汹涌的感情，从而被逆流而上的力量杀害……
68,TEXT_JOBDRK350_02055_FRAY_000_043,为了防止这种悲剧发生，<br>在进行仪式之前，需要你展示一下作为暗黑骑士的实力。
69,TEXT_JOBDRK350_02055_FRAY_000_044,要展现实力，和强敌战斗是最有效的……<br>我们去问问这个村落的头领，<br>看看有没有合适你的对手。
70,TEXT_JOBDRK350_02055_FRAY_000_050,要展现实力，和强敌战斗是最有效的……<br>我们去问问这个村落的头领，<br>看看有没有合适你的对手。
71,TEXT_JOBDRK350_02055_GUNDOBALD_000_051,这不是冒险者么，<br>我们这个小地方没什么可招待你的，不过还是由衷欢迎你的到来。<br>你今天来这里有什么事啊？
72,TEXT_JOBDRK350_02055_GUNDOBALD_000_052,……原来如此。<br>你为了展现实力，来这里寻找强敌……
73,TEXT_JOBDRK350_02055_GUNDOBALD_000_053,这样的话，我来给你介绍一个合适的对手吧。<br>最近，南边的红迷宫一带经常有凶暴的{{BNpcName|4119|0}}出没。
74,TEXT_JOBDRK350_02055_GUNDOBALD_000_054,它的攻击十分强劲，<br>就连在这危险之地生活的我们，<br>也有数人被它打伤了。
75,TEXT_JOBDRK350_02055_FRAY_000_055,我们就是想找这样的对手。<br>暗黑骑士就需要招架住强劲敌人的攻击，与之战斗。<br>……问题是要怎么碰上它呢？
76,TEXT_JOBDRK350_02055_GUNDOBALD_000_056,曾有前往牛魔里程的商队碰到过它，<br>当时他们运的是{{EventItem|2001812|0}}。<br>因此只要用同样的肉，就能够把它引出来了。
77,TEXT_JOBDRK350_02055_GUNDOBALD_000_057,虽然我们没有什么钱，<br>但也想尽全力回报你过去的恩情。
78,TEXT_JOBDRK350_02055_GUNDOBALD_000_058,而且看到你带着亲密的伙伴再次造访此地，<br>我也是十分高兴……
79,TEXT_JOBDRK350_02055_GUNDOBALD_000_059,什么？<br>你和他只有一面之交？
80,TEXT_JOBDRK350_02055_GUNDOBALD_000_060,这就怪了，我感到你俩十分相似，<br>就像亲密无间的多年旅伴一样。<br>难道是我想多了？
81,TEXT_JOBDRK350_02055_FRAY_000_061,……<name:玩家全名>，我们该走了。
82,TEXT_JOBDRK350_02055_GUNDOBALD_000_070,只要把{{EventItem|2001812|0}}放在红迷宫，<br>就能引来{{BNpcName|4119|0}}了。<br>……你可要加油啊。
83,TEXT_JOBDRK350_02055_FRAY_000_080,到了你展现暗黑骑士实力的时候了。<br>设置好{{EventItem|2001812|0}}，<br>打倒出现的{{BNpcName|4119|0}}。
