Index,0:？,1:？
0,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_SELECT_TITLE_0,请登记飞空艇。
1,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_SELECT_TITLE,请选择飞空艇。<br>　探索机体数：<var:2>/<var:3><br>　所持燃料数：桶装青磷水　<var:1>桶
2,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_ADD_NEW_AIRSHIP,登记新的飞空艇（飞空艇登记票×<var:1>张）
3,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_NAME,<input:1>  [<var:5>级]  <switch ( <var:2> ) {  }>
4,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_NAME_FINISH,<input:1>  [<var:5>级]  <switch ( <var:2> ) {  }>
5,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_SELECT_EXIT,取消
6,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CMD_TITLE,<input:1> [<var:3>级]<br>　探索机体数：<var:4>/<var:5><br>　所持燃料数：桶装青磷水　<var:2>桶
7,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CMD_EXPEDITION,出发
8,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CMD_RESULT,上次的远航报告
9,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CMD_PARTS,更换配件
10,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CMD_REPAIR_PARTS,修理配件
11,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CMD_SETTING,设置
12,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CONF_COLOR,对配件染色
13,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CONF_NAME,更改名字
14,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CONF_REMOVE,解体
15,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CMD_B_EXPEDITION,向云冠群岛出发
16,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CMD_A_EXPEDITION,
17,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CMD_B_EXPD2,向云冠群岛出发
18,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_CMD_A_EXPD2,
19,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_VOY_TITLE,<input:1> [<var:2>级]<br>　探索机体数：<var:3>/<var:4><br>　正在探索：剩余时间 <if (<var:5> > 0) { <var:5>天 }><if (<var:6> > 0) { <var:6>小时 } else { <if (<var:5> > 0) { <var:6>小时 }> }><var:7>分钟
20,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_VOY_CUR_COND,中止探索
21,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_VOY_CUR_MAP,确认云海图
22,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_VOY_CUR_STATUS,确认飞空艇
23,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_NAME_TITLE,请输入飞空艇的名字。
24,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_NAME_CAPTION,飞空艇的名字
25,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_AIRSHIP_NAME_MES_0,"名称中可以使用汉字、字母、数字、空格以及下列符号。<br>{{color|id=508|‘. , : ; ! ? & - _}}<br>·空格与下划线无法连续使用。<br>·空格无法用在开头和结尾。<br>·无法创建只使用符号的名称。"
26,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_REMOVE_AIRSHIP_TITLE,确定要对飞空艇<input:1>进行解体吗？<br>{{color|id=508|正在装备的道具将会被返还，<br>但不会返还飞空艇登记票。<br>飞空艇等级等情报也会被全部清空。}}
27,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_REMOVE_AIRSHIP_CHECK,对飞空艇进行解体
28,TEXT_CMNDEFCOMPANYCOMMANDERBOARD_00258_NO_REGISTRATION_1,要对飞空艇进行登记，<br>需要飞空艇登记票和飞空艇配件。
