Index,0:？,1:？
0,TEXT_LUCKZF006_03465_SEQ_00,{{color|id=508|特殊规则： 等级调整}}<br>法诺村的奈梅好像有心事。
1,TEXT_LUCKZF006_03465_SEQ_01,
2,TEXT_LUCKZF006_03465_SEQ_02,
3,TEXT_LUCKZF006_03465_SEQ_03,
4,TEXT_LUCKZF006_03465_SEQ_04,
5,TEXT_LUCKZF006_03465_SEQ_05,
6,TEXT_LUCKZF006_03465_SEQ_06,
7,TEXT_LUCKZF006_03465_SEQ_07,
8,TEXT_LUCKZF006_03465_SEQ_08,
9,TEXT_LUCKZF006_03465_SEQ_09,
10,TEXT_LUCKZF006_03465_SEQ_10,
11,TEXT_LUCKZF006_03465_SEQ_11,
12,TEXT_LUCKZF006_03465_SEQ_12,
13,TEXT_LUCKZF006_03465_SEQ_13,
14,TEXT_LUCKZF006_03465_SEQ_14,
15,TEXT_LUCKZF006_03465_SEQ_15,
16,TEXT_LUCKZF006_03465_SEQ_16,
17,TEXT_LUCKZF006_03465_SEQ_17,
18,TEXT_LUCKZF006_03465_SEQ_18,
19,TEXT_LUCKZF006_03465_SEQ_19,
20,TEXT_LUCKZF006_03465_SEQ_20,
21,TEXT_LUCKZF006_03465_SEQ_21,
22,TEXT_LUCKZF006_03465_SEQ_22,
23,TEXT_LUCKZF006_03465_SEQ_23,
24,TEXT_LUCKZF006_03465_TODO_00,获得{{EventItem|2002865|0}}
25,TEXT_LUCKZF006_03465_TODO_01,将{{EventItem|2002864|0}}和{{EventItem|2002865|0}}交给扎着两束发辫的少女
26,TEXT_LUCKZF006_03465_TODO_02,将{{EventItem|2002866|0}}交给奈梅
27,TEXT_LUCKZF006_03465_TODO_03,
28,TEXT_LUCKZF006_03465_TODO_04,
29,TEXT_LUCKZF006_03465_TODO_05,
30,TEXT_LUCKZF006_03465_TODO_06,
31,TEXT_LUCKZF006_03465_TODO_07,
32,TEXT_LUCKZF006_03465_TODO_08,
33,TEXT_LUCKZF006_03465_TODO_09,
34,TEXT_LUCKZF006_03465_TODO_10,
35,TEXT_LUCKZF006_03465_TODO_11,
36,TEXT_LUCKZF006_03465_TODO_12,
37,TEXT_LUCKZF006_03465_TODO_13,
38,TEXT_LUCKZF006_03465_TODO_14,
39,TEXT_LUCKZF006_03465_TODO_15,
40,TEXT_LUCKZF006_03465_TODO_16,
41,TEXT_LUCKZF006_03465_TODO_17,
42,TEXT_LUCKZF006_03465_TODO_18,
43,TEXT_LUCKZF006_03465_TODO_19,
44,TEXT_LUCKZF006_03465_TODO_20,
45,TEXT_LUCKZF006_03465_TODO_21,
46,TEXT_LUCKZF006_03465_TODO_22,
