Index,0:？,1:？
0,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_Q1,想了解什么？
1,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A1,什么是“罗薇娜商会交易”？
2,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A2,什么是“收藏品”？
3,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A3,什么是“工票”？
4,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A4,关于交付收藏品
5,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A5,关于收藏品的制作方法
6,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A6,关于收藏品的采集方法
7,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_TALK_A7,取消
8,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_000,那是一种收购制度，对象是富裕收藏家们想要得到的“收藏品”。<br>收购对象会根据订单状况发生变动，<br>所以请您随时到收藏品交易员那里咨询。
9,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_001,如果您带来作为收购对象的收藏品，<br>那么我们会根据其收藏价值，付给您合适的价钱。
10,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_002,但是，这部分费用我们会用本商会独有的货币……<br>巧手工票、大地工票来进行支付，敬请谅解。
11,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_003,可以通过50级以上的交易获取巧手工票和大地工票。
12,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_010,所谓“收藏品”，就是指收藏家们渴望收藏的物品。<br>我们会以收藏价值来判断这些物品的价值，<br>以评估这些收藏品能多大程度满足那些挑剔的收藏家们。
13,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_011,不过，正是因为这些收藏品是面向特定收藏家的，<br>所以无法进行金币交易，也无法作为制作材料使用。<br>毕竟这些东西都是以收藏为目的存在的。
14,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_015,巧手工票和大地工票只能在罗薇娜商会使用，<br>是我们商会独有的货币。
15,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_016,用工票交换的物品都是一些很罕见的东西，<br>所以一定可以满足您的需求。<br>请您找工票交易员，多多利用。
16,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_017,所持的工票数等详细情报可以从“货币一览”的“其他”中确认。
17,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_020,您可以随意交纳筹备好的商品。<br>另外，作为收购对象的收藏品会根据订单状况发生变动，<br>所以请您随时到收藏品交易员那里咨询。
18,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_021,但如果是收藏价值过低的商品，<br>我们会拒绝收购的。<br>毕竟如果不能满足顾客的要求，那么商谈也就无法成立。
19,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_022,相反，如果您拿来了收藏价值高于预期的商品，<br>那么我们会给您的报酬加成的。<br>另外，强化收购的收藏品的报酬也是一样。
20,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_023,还有就是，<br>作为收购对象的收藏品会根据顾客的订单状况定期进行更新。<br>请您掌握最新情况，进行筹备。
21,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_024,"可以在任务情报中查看罗薇娜商会交易的供应委托列表。<br>列表的内容会在每天<if (<value:小时> <switch ( <value:小时> ) { 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 }>) { 0 }>点（地球时间）进行更新。"
22,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_025,我听说制作收藏品是需要一点小窍门的。
23,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_026,要制作收藏品，需要使用技能“收藏品制作”，<br>获得“收藏品制作”的状态效果。
24,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_027,在此状态中完成道具的制作时，<br>完成时可以选择是否将其用作收藏。
25,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_028,另外，体现收藏品价值的“收藏价值”，<br>会随着制作时品质的提升而提升。<br>和普通的制作一样，在制作时注意提升品质吧。
26,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_LYDIRLONA_000_030,我听说采集收藏品是需要一点小窍门的。
27,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_031,要采集收藏品，需要使用技能“收藏品采集”，<br>获得“收藏品采集”的状态效果。
28,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_032,如果职业为捕鱼人，那么收藏价值从鱼的大小来体现。<br>如果职业为采矿工和园艺工，<br>那么需要使用甄别类技能。
29,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_033,通过使用甄别类技能，采集到的物品“稀有度”便会提升，<br>稀有度越高，获得的道具收藏价值就越高。
30,TEXT_REGLAKCOLLECTABLESUPPLYFRONT_00272_SYSTEM_000_034,另外，职业为采矿工和园艺工时，<br>有的采集地点需要乘坐飞行坐骑才能到达。
