Index,0:？,1:？
0,TEXT_BANNAM502_03116_SEQ_00,{{color|id=508|特殊规则： 等级调整（限定职业）}}<br>※本任务进行时需要与接受任务时的职业相同才可继续进行任务。<br><br>朵洛衣楼的光风院霁月希望得到冒险者的帮助。
1,TEXT_BANNAM502_03116_SEQ_01,和乔尔艾恩石环的负责养马的鲶鱼精交谈
2,TEXT_BANNAM502_03116_SEQ_02,和乔尔艾恩石环的负责养马的鲶鱼精进行了交谈<br>将委托物品交给光风院霁月
3,TEXT_BANNAM502_03116_SEQ_03,
4,TEXT_BANNAM502_03116_SEQ_04,
5,TEXT_BANNAM502_03116_SEQ_05,
6,TEXT_BANNAM502_03116_SEQ_06,
7,TEXT_BANNAM502_03116_SEQ_07,
8,TEXT_BANNAM502_03116_SEQ_08,
9,TEXT_BANNAM502_03116_SEQ_09,
10,TEXT_BANNAM502_03116_SEQ_10,
11,TEXT_BANNAM502_03116_SEQ_11,
12,TEXT_BANNAM502_03116_SEQ_12,
13,TEXT_BANNAM502_03116_SEQ_13,
14,TEXT_BANNAM502_03116_SEQ_14,
15,TEXT_BANNAM502_03116_SEQ_15,
16,TEXT_BANNAM502_03116_SEQ_16,
17,TEXT_BANNAM502_03116_SEQ_17,
18,TEXT_BANNAM502_03116_SEQ_18,
19,TEXT_BANNAM502_03116_SEQ_19,
20,TEXT_BANNAM502_03116_SEQ_20,
21,TEXT_BANNAM502_03116_SEQ_21,
22,TEXT_BANNAM502_03116_SEQ_22,
23,TEXT_BANNAM502_03116_SEQ_23,
24,TEXT_BANNAM502_03116_TODO_00,和乔尔艾恩石环的负责养马的鲶鱼精对话
25,TEXT_BANNAM502_03116_TODO_01,<if (<var:4> == 9) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> } else { <if (<var:4> == 10) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> } else { <if (<var:4> == 11) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> } else { <if (<var:4> == 8) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> } else { <if (<var:4> == 12) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> } else { <if (<var:4> == 13) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> } else { <if (<var:4> == 14) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> } else { <if (<var:4> == 15) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> } else { <if (<var:4> == 16) { <if (<var:1> < <var:2>) { 在恰佳遗骨堂南边的石场采集<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> } else { <if (<var:4> == 17) { <if (<var:1> < <var:2>) { 在恰佳遗骨堂南边的草场采集<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> } else { <if (<var:4> == 18) { <if (<var:1> < <var:2>) { 在塔奥卡勒河钓<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给光风院霁月 }> }> }> }> }> }> }> }> }> }> }> }>
26,TEXT_BANNAM502_03116_TODO_02,
27,TEXT_BANNAM502_03116_TODO_03,
28,TEXT_BANNAM502_03116_TODO_04,
29,TEXT_BANNAM502_03116_TODO_05,
30,TEXT_BANNAM502_03116_TODO_06,
31,TEXT_BANNAM502_03116_TODO_07,
32,TEXT_BANNAM502_03116_TODO_08,
33,TEXT_BANNAM502_03116_TODO_09,
34,TEXT_BANNAM502_03116_TODO_10,
35,TEXT_BANNAM502_03116_TODO_11,
36,TEXT_BANNAM502_03116_TODO_12,
37,TEXT_BANNAM502_03116_TODO_13,
38,TEXT_BANNAM502_03116_TODO_14,
39,TEXT_BANNAM502_03116_TODO_15,
40,TEXT_BANNAM502_03116_TODO_16,
41,TEXT_BANNAM502_03116_TODO_17,
42,TEXT_BANNAM502_03116_TODO_18,
43,TEXT_BANNAM502_03116_TODO_19,
44,TEXT_BANNAM502_03116_TODO_20,
45,TEXT_BANNAM502_03116_TODO_21,
46,TEXT_BANNAM502_03116_TODO_22,
47,TEXT_BANNAM502_03116_TODO_23,
48,TEXT_BANNAM502_03116_KOFUINSEIGETSU_000_000,我有事情想要委托你来帮忙。<br>我们正在举行模儿部流传的赛马比赛祭礼，<br>可是饲养马匹所需要的东西却不够了。
49,TEXT_BANNAM502_03116_KOFUINSEIGETSU_000_001,所以我就让负责养马的鲶鱼精去收集需要的东西，<br>但是他却迟迟未归，我想可能是出了什么问题。<br>他应该在乔尔艾恩石环附近，麻烦你去看看出了什么事。
50,TEXT_BANNAM502_03116_KOFUINSEIGETSU_000_002,我想你肯定知道如果是拥有文明的种族，<br>那懂得饲养家畜是理所当然的对吧？<br>那就麻烦你了，<name:玩家全名>。
51,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_010,哎……真是忙不过来了噗……<br>我收集了饲养马匹所需要的东西，<br>可是有些东西却没法弄到，我正在发愁呢噗。
52,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_011,我需要的是{{Item|22736|0}}的马蹄铁噗。<br>素材已经给你准备好了，<br>就从我旁边的货箱里拿取需要的素材进行制作吧噗。
53,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_012,我需要的是{{Item|22736|0}}的刷子噗。<br>素材已经给你准备好了，<br>就从我旁边的货箱里拿取需要的素材进行制作吧噗。
54,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_013,我需要的是{{Item|22736|0}}的马具油噗。<br>素材已经给你准备好了，<br>就从我旁边的货箱里拿取需要的素材进行制作吧噗。
55,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_014,我需要的是制作马蹄铁用的{{Item|22632|0}}噗。<br>在恰佳遗骨堂南边附近应该能够找到，<br>麻烦你去采1个回来吧噗。
56,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_015,我需要的是用作饲料的{{Item|22658|0}}噗。<br>在恰佳遗骨堂南边附近应该能够找到，<br>麻烦你去采1个回来吧噗。
57,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_016,我需要的是制作马匹用创伤药的{{Item|22684|0}}噗。<br>在塔奥卡勒河附近用{{Item|20613|0}}应该能够钓到，<br>麻烦你去弄1个回来吧噗。
58,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_017,东西准备好了的话，就直接交给光风院霁月吧噗。<br>剩下的东西就由我来准备吧噗！
59,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_018,难道是素材不够用了吗噗？<br>我旁边有一个货箱，你可以从货箱里拿取需要的素材进行制作噗。
60,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_019,难道是素材不够用了吗噗？<br>我旁边有一个货箱，你可以从货箱里拿取需要的素材进行制作噗。
61,TEXT_BANNAM502_03116_DAILYNAMAZUO03116_000_020,难道是素材不够用了吗噗？<br>我旁边有一个货箱，你可以从货箱里拿取需要的素材进行制作噗。
62,TEXT_BANNAM502_03116_SYSTEM_000_021,有一个装满了素材的货箱。<br>现在好像没有什么用处……
63,TEXT_BANNAM502_03116_SYSTEM_000_022,有一个装满了素材的货箱。<br>现在好像没有什么用处……
64,TEXT_BANNAM502_03116_SYSTEM_000_023,有一个装满了素材的货箱。<br>现在好像没有什么用处……
65,TEXT_BANNAM502_03116_SYSTEM_000_024,有一个装满了素材的货箱。<br>现在好像没有什么用处……
66,TEXT_BANNAM502_03116_SYSTEM_000_025,从货箱里拿到了需要的素材！
67,TEXT_BANNAM502_03116_SYSTEM_000_026,从货箱里拿到了需要的素材！
68,TEXT_BANNAM502_03116_SYSTEM_000_027,从货箱里拿到了需要的素材！
