Index,0:？,1:？
0,TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_000,这不是<if (<param:黑涡团军衔级别> > 0) { <if (<param:黑涡团军衔级别> < 127) { <name:玩家全名><if (<param:黑涡团军衔级别> > 0) { <if (<param:黑涡团军衔级别> < 127) { <GCRankLimsaMaleText:<param:黑涡团军衔级别>:0> }> }> }> }><if (<param:双蛇党军衔级别> > 0) { <if (<param:双蛇党军衔级别> < 127) { <name:玩家全名><if (<param:双蛇党军衔级别> > 0) { <if (<param:双蛇党军衔级别> < 127) { <GCRankGridaniaMaleText:<param:双蛇党军衔级别>:0> }> }> }> }><if (<param:恒辉队军衔级别> > 0) { <if (<param:恒辉队军衔级别> < 127) { <name:玩家全名><if (<param:恒辉队军衔级别> > 0) { <if (<param:恒辉队军衔级别> < 127) { <GCRankUldahMaleText:<param:恒辉队军衔级别>:0> }> }> }> }>吗？<br>请问有什么事？
1,TEXT_REGGYR3CASTRUMORIENS_00394_Q1_000_000,想了解什么？
2,TEXT_REGGYR3CASTRUMORIENS_00394_A1_000_001,你是做什么的？
3,TEXT_REGGYR3CASTRUMORIENS_00394_A1_000_002,这里是什么地方？
4,TEXT_REGGYR3CASTRUMORIENS_00394_A1_000_003,取消
5,TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_010,我是一名双蛇党军官。<br>艾欧泽亚同盟军占领了这处帝国东方堡，<br>我也从格里达尼亚被派来驻守此地。
6,TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_011,艾欧泽亚同盟军包括我们格里达尼亚的双蛇党、<br>利姆萨·罗敏萨的黑涡团、乌尔达哈的恒辉队，<br>还有新加入的伊修加德神殿骑士团。
7,TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_012,虽然各国的做派和军规都有所不同，经常会引发一些问题。<br>但出问题时大家都会坐在一起好好商量解决，<br>所以我们合作还算是愉快顺利。希望今后我们能变得更加团结。
8,TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_020,这个帝国东方堡是加雷马帝国<br>为驻守巴埃萨长城的守军建造的一座基地。
9,TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_021,原先隶属于格里达尼亚的这片东境混交林中，<br>曾有着很多小型的集落。<br>不过集落中的大部分居民都在帝国侵略时逃回格里达尼亚避难了。
10,TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_022,这东境混交林还曾经是红叶战争的舞台。<br>那是100年前由于阿拉米格向格里达尼亚宣称<br>提诺尔卡东部是自己的领土而引发的一场战争。
11,TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_023,当时的格里达尼亚请来伊修加德、利姆萨·罗敏萨、<br>乌尔达哈三国的援军，合力在此处迎击了阿拉米格的军队。<br>神奇的是，这阵容和当今的艾欧泽亚同盟军简直如出一辙。
12,TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_024,不过这次再度联手，<br>同盟军的目标却从迎战阿拉米格变成了拯救阿拉米格……<br>历史这东西可真是让人摸不着头脑。
