Index,0:？,1:？
0,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_KOZAKURA_000_000,我负责在这里管理大家所使用的资材与物品。<br>难得爷爷他们愿意将工作交给我们年轻人……<br>无论如何我都要做好！
1,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_KOZAKURA_000_010,<name:玩家全名>欢迎你过来。<br>这里是车前会所！
2,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_Q1_000_011,想了解什么？
3,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_A1_000_012,多玛飞地的情况如何？
4,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_A1_000_013,关于出让物资的方法
5,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_A1_000_014,关于回购物资的方法
6,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_A1_000_015,取消
7,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_KOZAKURA_000_016,多玛飞地的重建计划终于开始了！<br>首先需要建设与人民饮食相关的百货市场。<br>请你多多协助吧！
8,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_KOZAKURA_000_017,如果你有不再需要的物品愿意出让给我们的话，<br>就放进{{EObj|2009567|0}}吧。<br>我们会给你相应的谢礼。
9,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_KOZAKURA_000_018,只不过我们车前会每周的预算是有限的，<br>请多加注意。
10,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_SYSTEM_000_019,可以将道具放进车前会所的{{EObj|2009567|0}}进行出让了，<br>为多玛飞地贡献物资，使城市得到发展。
11,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_SYSTEM_000_020,在通常商店可以出售的道具，<br>均可不限种类进行出让。
12,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_SYSTEM_000_021,另外出让道具时，<br>获得的礼金将比在通常商店出售道具时获得的金额略高。
13,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_SYSTEM_000_022,礼金金额比通常出售金额高出的倍率<br>会随着多玛飞地的重建进度而上升。
14,TEXT_CTSDOMRECONEVENTKOZAKURA_00486_SYSTEM_000_023,不过车前会的预算有限，<br>当每周预算用尽后将停止接受出让。
